unit_id,time_cycle,wear_value,temperature
1,0,0.04873,34.1
1,1,0.05293,34.018
1,2,0.04696,33.891
1,3,0.04553,33.452
1,4,0.0532,34.304
1,5,0.04348,33.845
1,6,0.04678,33.861
1,7,0.04137,33.759
1,8,0.05251,34.637
1,9,0.05188,34.136
1,10,0.04843,33.917
1,11,0.05447,34.226
1,12,0.04834,33.831
1,13,0.05043,33.974
1,14,0.05126,34.053
1,15,0.05305,33.884
1,16,0.05607,34.758
1,17,0.05669,34.259
1,18,0.05566,33.992
1,19,0.04602,34.14
1,20,0.05043,33.811
1,21,0.04928,33.83
1,22,0.05358,34.265
1,23,0.05683,34.397
1,24,0.05654,34.171
1,25,0.05127,33.797
1,26,0.05841,34.217
1,27,0.05262,34.364
1,28,0.05093,34.258
1,29,0.05597,33.992
1,30,0.05474,34.368
1,31,0.0585,34.554
1,32,0.05694,34.895
1,33,0.05219,34.039
1,34,0.05591,33.915
1,35,0.06061,34.481
1,36,0.05681,34.111
1,37,0.05106,33.936
1,38,0.06032,34.251
1,39,0.05594,34.3
1,40,0.0626,34.394
1,41,0.05954,34.551
1,42,0.05931,34.21
1,43,0.06163,34.271
1,44,0.05781,34.494
1,45,0.05845,33.722
1,46,0.06135,34.237
1,47,0.05916,34.359
1,48,0.06002,34.33
1,49,0.05296,33.946
1,50,0.06703,34.435
1,51,0.0551,33.967
1,52,0.05821,34.269
1,53,0.06084,34.173
1,54,0.06299,34.447
1,55,0.06234,34.222
1,56,0.0621,34.4
1,57,0.06417,34.53
1,58,0.06003,34.132
1,59,0.06815,34.302
1,60,0.07104,34.806
1,61,0.07152,34.359
1,62,0.06671,34.333
1,63,0.07056,34.856
1,64,0.17083,45.368151040376574
1,65,0.06635,34.554
1,66,0.06341,34.468
1,67,0.06514,34.522
1,68,0.06866,34.396
1,69,0.06627,34.351
1,70,0.07256,34.766
1,71,0.07297,34.839
1,72,0.08156,34.687
1,73,0.07112,34.239
1,74,0.07727,34.919
1,75,0.0696,34.617
1,76,0.07851,34.731
1,77,0.07762,34.702
1,78,0.06996,34.711
1,79,0.08073,34.881
1,80,0.07223,34.4
1,81,0.07215,34.703
1,82,0.08238,34.854
1,83,0.08172,34.582
1,84,0.0792,34.427
1,85,0.07619,34.812
1,86,0.079,34.939
1,87,0.08281,35.325
1,88,0.08173,34.474
1,89,0.08194,34.567
1,90,0.08671,34.871
1,91,0.08299,34.758
1,92,0.08726,34.784
1,93,0.08817,35.103
1,94,0.08447,34.629
1,95,0.08458,34.959
1,96,0.0878,35.012
1,97,0.09531,35.094
1,98,0.08585,35.056
1,99,0.09014,35.111
1,100,0.09506,34.851
1,101,0.0972,35.27
1,102,0.09014,34.998
1,103,0.09449,35.035
1,104,0.09787,35.391
1,105,0.09535,35.315
1,106,0.10023,35.201
1,107,0.09795,34.875
1,108,0.09222,35.015
1,109,0.0958,35.051
1,110,0.09811,34.751
1,111,0.10271,35.125
1,112,0.10265,35.028
1,113,0.10206,35.506
1,114,0.10501,35.367
1,115,0.10052,35.638
1,116,0.1141,35.726
1,117,0.11119,35.394
1,118,0.1108,35.592
1,119,0.10771,35.227
1,120,0.10475,35.097
1,121,0.11929,35.498
1,122,0.11262,35.485
1,123,0.10871,35.526
1,124,0.12151,35.689
1,125,0.12436,35.409
1,126,0.12646,35.574
1,127,0.11532,35.432
1,128,0.12931,35.777
1,129,0.11949,35.311
1,130,0.12423,35.273
1,131,0.12089,35.908
1,132,0.13286,35.832
1,133,0.1272,35.748
1,134,0.13998,36.092
1,135,0.13578,35.88
1,136,0.13396,36.011
1,137,0.13582,35.542
1,138,0.14207,35.933
1,139,0.14705,36.301
1,140,0.14057,36.112
1,141,0.14156,35.948
1,142,0.14457,36.287
1,143,0.14365,35.966
1,144,0.14589,36.329
1,145,0.15496,36.407
1,146,0.15333,36.173
1,147,0.15641,36.476
1,148,0.15199,35.913
1,149,0.15191,36.135
1,150,0.16343,36.827
1,151,0.15905,36.341
1,152,0.16391,36.53
1,153,0.16869,36.526
1,154,0.17089,36.63
1,155,0.17268,36.662
1,156,0.16901,37.02
1,157,0.17797,36.472
1,158,0.1742,36.99
1,159,0.17351,36.888
1,160,0.18333,36.806
1,161,0.18302,36.521
1,162,0.19257,37.083
1,163,0.19118,37.238
1,164,0.19592,37.131
1,165,0.19387,37.285
1,166,0.19915,37.518
1,167,0.1964,37.095
1,168,0.20644,37.037
1,169,0.21002,37.461
1,170,0.20651,37.309
1,171,0.20917,37.757
1,172,0.21533,37.734
1,173,0.21554,37.351
1,174,0.21478,37.555
1,175,0.22302,37.816
1,176,0.22821,38.008
1,177,0.22763,38.356
